"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"dtplyr","dtplyr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.0",NA,"R (>= 3.3)","crayon, data.table (>= 1.13.0), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.7-9",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"effects","effects","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.2-1",NA,"R (>= 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability, insight",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr, betareg, alr4, robustlmm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"effectsize","effectsize","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.6.0.1",NA,"R (>= 3.4)","bayestestR (>= 0.11.5), insight (>= 0.15.0), parameters (>=
0.16.0), performance (>= 0.8.0), datawizard (>= 0.2.2), stats,
utils",NA,"correlation (>= 0.6.1), see (>= 0.6.4), afex, BayesFactor,
boot, brms, car, covr, emmeans, gamm4, knitr, lavaan, lm.beta,
lme4, lmerTest, MASS, mediation, mgcv, pscl, rmarkdown, rms,
rstanarm, rstantools, spelling, testthat, tidymodels",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"ellipse","ellipse","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.2",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"elliptic","elliptic","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4-0",NA,"R (>= 2.5.0)","MASS",NA,"emulator, calibrator (>= 1.2-8)",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"estimability","estimability","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"expm","expm","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.999-6",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"extrafont","extrafont","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"extrafontdb","extrafontdb","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.0"
"factoextra","factoextra","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.7",NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"FactoMineR","FactoMineR","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.4",NA,"R (>= 3.5.0)","car,cluster,DT,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny,markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5.0",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"farver","farver","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastmap","fastmap","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastmatch","fastmatch","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1-3",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"filelock","filelock","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.2",NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"flashClust","flashClust","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.1.0"
"flexmix","flexmix","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.3-17",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"flextable","flextable","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.7.0",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.4.1),
rmarkdown, knitr, htmltools, xml2, data.table (>= 1.13.0), uuid
(>= 0.1-4), gdtools (>= 0.1.6), rlang, base64enc",NA,"testthat (>= 2.1.0), xtable, webshot, magick, ggplot2,
scales, broom, mgcv, bookdown, equatags, commonmark,pdftools",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"flow","flow","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.0.2",NA,NA,"nomnoml, utils, htmlwidgets, rstudioapi, webshot, styler",NA,"testthat (>= 2.1.0), covr, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"fluxweb","fluxweb","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.2.0",NA,"stats",NA,NA,"testthat, R.rsp",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.1.0"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.5.1",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.0"
"forecast","forecast","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","8.16",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","forecTheta, knitr, methods, rmarkdown, rticles, seasonal,
testthat, uroot",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.8-81","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"forestplot","forestplot","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.1",NA,"R (>= 3.5.0), grid, magrittr, checkmate",NA,NA,"testthat, abind, knitr, rmarkdown, rmeta, dplyr, tidyr, rlang",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.0"
"fpc","fpc","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.2-9",NA,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"fracdiff","fracdiff","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.5-1",NA,NA,"stats",NA,"longmemo, forecast, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"fs","fs","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.5.2",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"future","future","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.23.0",NA,NA,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.26.1), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"future.apply","future.apply","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.8.1",NA,"R (>= 3.2.0), future (>= 1.21.0)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"gargle","gargle","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gdtools","gdtools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.2.4",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"geiger","geiger","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.7",NA,"ape (>= 3.0-6), R (>= 2.15.0)","MASS, mvtnorm, subplex, deSolve (>= 1.7), digest, Rcpp (>=
0.11.0), coda, ncbit, colorspace, methods, phytools (>= 0.7.31)","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"generics","generics","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.1",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"GenomeInfoDb","GenomeInfoDb","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.30.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"GenomeInfoDbData","GenomeInfoDbData","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.7",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"geojsonlint","geojsonlint","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.0",NA,"R (>= 2.10)","crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"geojsonsf","geojsonsf","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.1",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"geometries","geometries","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.2.0",NA,NA,"Rcpp","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"gert","gert","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4.3",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"GGally","GGally","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.1.0"
"ggforce","ggforce","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggfortify","ggfortify","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.14",NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",NA,"testthat, cluster, changepoint, dlm, fGarch, forecast,
ggrepel, glmnet, grDevices, KFAS, knitr, lintr, mapdata,
markdown, MASS, MSwM, nlme, raster, ROCR, sp, stats,
strucchange, survival, timeSeries, tseries, utils, vars, xts,
zoo, lfda",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"ggfun","ggfun","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.0.4",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"ggimage","ggimage","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.0",NA,"R (>= 3.4.0), ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales,
tibble, tools, utils",NA,"ape, ggtree, gridGraphics, httr, rsvg",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.3.5",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggplotify","ggplotify","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"ggprism","ggprism","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.3",NA,"R (>= 3.2)","digest, ggplot2 (>= 3.2.0), glue, grid, gtable (>= 0.1.1),
rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble, utils",NA,"covr, dplyr, ggbeeswarm, ggnewscale, knitr, magrittr,
patchwork, rmarkdown, rstatix, tidyr, tinytest",NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.1.0"
"ggpubr","ggpubr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggrepel","ggrepel","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggridges","ggridges","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggsci","ggsci","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggsignif","ggsignif","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.6.3",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggstatsplot","ggstatsplot","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9.1",NA,"R (>= 4.0.0)","correlation, dplyr, ggplot2, ggrepel, ggsignif, glue, insight
(>= 0.15.0), paletteer, parameters (>= 0.16.0), patchwork,
performance, purrr, rlang, stats, statsExpressions (>= 1.3.0),
tidyr, utils, WRS2",NA,"afex, BayesFactor (>= 0.9.12-4.3), forcats, gapminder,
ggcorrplot, gginnards, ggside, knitr, lme4, MASS, metaBMA,
metafor, PMCMRplus, psych, rmarkdown, spelling, survival,
testthat (>= 3.1.0), tibble, vdiffr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"ggtext","ggtext","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.1",NA,"R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",NA,"cowplot, dplyr, glue, knitr, rmarkdown, testthat, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"gh","gh","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gitcreds","gitcreds","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"glmnet","glmnet","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1-4",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"globals","globals","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.14.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"glue","glue","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"gmp","gmp","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.6-2.1",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"gmt","gmt","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.2",NA,NA,"utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"googledrive","googledrive","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"googlesheets4","googlesheets4","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.0",NA,"R (>= 3.3)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gower","gower","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.2.2",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"grDevices",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"grid","grid","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"gridExtra","gridExtra","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"gridGraphics","gridGraphics","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"gridtext","gridtext","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.4",NA,"R (>= 3.5)","grid, grDevices, markdown, rlang, Rcpp, RCurl, png, jpeg,
stringr, xml2","Rcpp","covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"gt","gt","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.0",NA,"R (>= 3.2.0)","base64enc (>= 0.1-3), bitops (>= 1.0.6), checkmate (>= 2.0.0),
commonmark (>= 1.7), dplyr (>= 1.0.8), fs (>= 1.5.2), ggplot2
(>= 3.3.5), glue (>= 1.6.1), htmltools (>= 0.5.2), magrittr (>=
2.0.2), rlang (>= 1.0.1), sass (>= 0.4.0), scales (>= 1.1.1),
stringr (>= 1.4.0), tibble (>= 3.1.6), tidyselect (>= 1.1.1)",NA,"covr, knitr, paletteer, testthat (>= 2.1.0), RColorBrewer,
lubridate, rmarkdown, rvest, shiny, tidyr, webshot, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"gtools","gtools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.9.2",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
